agu A股
zpqb 长亲
zpqc 张强
zpqd 臧桥
zpqf 涨钱
zpqg 藏青
zpqi 脏器
zpqiu 胀气
zpql 众叛亲离
zpqq 章丘
zpqt 掌权
zpqu 藏区
zprn 丈人
zprne 藏人
zprr 长肉
zpsi 涨势
zpsie 葬式
zpsiu 脏私
zpsj 张三
zpsje 真凭实据
zpsk 掌勺
zpsl 葬送
zpslo 章颂
zpsm 掌声
zpsn 葬身
zpsp 掌上
zpsu 张姝
zpsv 脏水
zpsvo 涨水
zpsy 长孙
zptf 掌天
zptg 涨停
zpth 章台
zptj 涨滩
zptk 账套
zptl 胀痛
zptr 账头
zptu 脏土
zptx 张贴
zpvh 障碍
zpvj 嶂暗
zpvk 藏獒
zpvu 丈二
zpwh 账外
zpwj 樟湾
zpwn 藏文
zpwo 掌握
zpwp 张望
zpwu 赃物
zpwui 账务
zpww 张伟
zpwz 这篇文章
zpxb 掌心
zpxc 长相
zpxce 藏香
zpxf 彰显
zpxh 藏学
zpxi 掌玺
zpxie 藏戏
zpxl 长兄
zpxq 长锈
zpxs 帐下
zpxsi 中篇小说
zpxt 张璇
zpxu 张栩
zpxx 掌鞋
zpy 占便宜
zpya 长牙
zpyb 掌印
zpybe 藏银
zpye 张掖
zpyi 仗义
zpyie 藏医
zpyj 张眼
zpyk 长腰
zpyke 藏药
zpyl 张勇
zpyp 张扬
zpyr 长幼
zpyru 做朋友
zpyt 张元
zpyu 章鱼
zpyue 藏语
zpyv 章鱼
zpyve 藏语
zpzc 张庄
zpze 仗着
zpzeo 章则
zpzh 长在
zpzi 长子
zpzie 左撇子
zpziu 脏字
zpzj 作品展
zpzk 掌灶
zpzl 掌中
zpzlo 章宗
zpzm 账证
zpzmi 赃证
zpzn 张震
zpzo 张祚
zpzp 张张
zpzr 漳州
zpzu 藏族
zpzv 张嘴
zpzvo 诈骗罪
zqb 周期表
zqbd 周期表
zqbj 增强版
zqbk 证券报
zqbs 足球比赛
zqbx 自强不息
zqc 沼气池
zqcg 正气存内，邪不可干
zqci 沼气池
zqcl 酌情处理
zqcp 足球场
zqd 正确地
zqdf 只欠东风
zqdg 沾亲带故
zqdk 主渠道
zqdku 争取到
zqdl 争权夺利
zqdli 紫气东来
zqdlu 知情达理
zqdu 准确度
zqdv 足球队
zqdy 争奇斗艳
zqf 正前方
zqfk 政企分开
zqfp 正前方
zqfw 职权范围
zqfx 正确方向
zqg 做气功
zqgc 支气管哮喘
zqgd 正确轨道
zqgg 摘取桂冠
zqgh 瞻前顾后
zqgj 争取公众理解
zqgl 做气功
zqgn 在全国范围内
zqgo 债权国
zqgs 证券公司
zqgt 支气管
zqgy 支气管炎
zqh 曾庆红
zqhl 增强活力
zqhs 争强好胜
zqhy 整齐划一
zqj 作曲家
zqji 蒸汽机
zqjj 证券基金
zqjs 证券交易所
zqjx 中秋节
zqjy 证券交易
zqkd 正确看待
zql 站起来
zqld 正确领导
zqle 增强了
zqlh 抓起来
zqli 责权利
zqlr 正气凛然
zqlv 准确率
zqlve 正确率
zqlvi 中签率
zqlvu 周期律
zqm 找窍门
zqmc 朝秦暮楚
zqmn 找窍门
zqmw 自取灭亡
zqn 中青年
zqnf 自去年
zqpb 朝气蓬勃
zqq 知情权
zqqr 自欺欺人
zqqt 知情权
zqr 知情人
zqrn 债权人
zqrs 正确认识
zqs 藏青色
zqsc 证券市场
zqse 藏青色
zqsg 真情实感
zqsh 足球赛
zqsi 总趋势
zqsio 肇庆市
zqsl 增强塑料
zqtz 证券投资
zqww 准确无误
zqx 准确性
zqxg 正确性
zqxgu 周期性
zqxt 志趣相投
zqy 最强音
zqyb 足窍阴
zqyd 正确引导
zqyj 征求意见
zqyju 众擎易举
zqys 终其一生
zqyse 珍禽异兽
zqz 知情者
zqzb 杂七杂八
zqze 知情者
zqzj 自轻自贱
zqzs 装腔作势
zqzu 主群组
zqzz 在群众中
zrba 走吧
zrbd 周表
zrbde 奏表
zrbf 周边
zrbfe 走遍
zrbh 走白
zrbhu 自然保护
zrbi 周比
zrbie 走笔
zrbj 周半
zrbje 走板
zrbjeu 责任编辑
zrbk 周报
zrbke 奏报
zrbn 奏本
zrbo 周勃
zrbq 自然保护区
zrbu 肘部
zrbue 走步
zrbw 走背
zrbx 真人不露相
zrc 自然村
zrce 舟车
zrck 周朝
zrcl 驺从
zrclo 诸如此类
zrcm 轴承
zrcmu 邹城
zrcn 轴衬
zrco 走错
zrcp 周长
zrcr 绉绸
zrct 舟船
zrcu 走出
zrcuu 周初
zrcy 周村
zrcz 在日常生活中
zrcze 在日常工作中
zrdd 走调
zrde 走得
zrdee 责任的
zrdei 昨日的
zrdeo 州的
zrdeu 自然的
zrdf 走电
zrdh 周代
zrdhe 走带
zrdi 走低
zrdk 走到
zrdku 周到
zrdl 走动
zrdm 自认倒霉
zrdp 轴档
zrdq 走丢
zrdu 走读
zrdx 骤跌
zrdxe 走跌
zrfc 载人飞船
zrfg 自然风光
zrfm 骤风
zrfme 走风
zrfn 昼分
zrfp 走访
zrfu 州府
zrfz 自然法则
zrgc 走光
zrgca 昼光
zrge 周哥
zrgee 走个
zrgj 责任感
zrgk 走高
zrgl 周公
zrgle 奏功
zrglo 主人公
zrglu 自然规律
zrgo 走过
zrgp 周港
zrgr 走狗
zrgs 责任公司
zrgt 州官
zrgtu 自然观
zrgx 中日关系
zrgy 纣棍
zrhe 奏劾
zrhh 早日黄花
zrhj 自然环境
zrhk 走好
zrhke 轴号
zrhl 走红
zrhn 皱痕
zrho 走火
zrhr 走后
zrhru 周后
zrhs 走滑
zrhv 周会
zrhvu 自然会
zrhx 在任何情况下
zrhy 走婚
zrjb 走进
zrjbe 酎金
zrjc 骤降
zrjd 周角
zrjf 骤减
zrjfe 走见
zrjg 自然景观
zrjh 周觉
zrjhe 真热假寒
zrji 洲际
zrjie 奏技
zrjiee 载热剂
zrjj 自然经济
zrjq 啁啾
zrjs 周家
zrjse 转让技术
zrjso 主人家
zrju 轴距
zrjv 轴距
zrjx 周杰
zrjy 州郡
zrjz 周觉
zrjze 正人君子
zrkd 指日可待
zrkh 走开
zrkhu 自然科学基金委员会
zrkj 周刊
zrkr 周口
zrkx 自然科学
zrky 主任科员
zrla 走啦
zrle 走了
zrleu 皱了
zrlg 周龄
zrlh 走来
zrli 妯娌
zrlk 周老
zrlp 走廊
zrlpu 周郎
zrlq 周六
zrlqe 走留
zrlr 走漏
zrls 知人论世
zrlu 走路
zrlv 周率
zrlvu 自然律
zrma 咒骂
zrmf 皱面
zrmg 州名
zrmge 奏明
zrmh 周麦
zrmi 周密
zrml 郑人买履
zrmo 周末
zrmoe 走摸
zrmp 昼盲
zrmr 周某
zrmu 州牧
zrmw 皱眉
zrmwu 自然美
zrna 周纳
zrnf 周年
zrng 周宁
zrnge 责任内阁
zrni 揍你
zrnj 周南
zrnw 周内
zrpd 走票
zrpf 走偏
zrpg 邹平
zrpi 皱皮
zrpo 走坡
zrqb 昼寝
zrqbe 走禽
zrqc 走强
zrqd 走俏
zrqdu 舟桥
zrqg 奏请
zrqgu 自然奇观
zrqi 周期
zrqie 奏起
zrqt 周全
zrqu 舟曲
zrque 责任区
zrqv 责任区
zrri 周日
zrrj 骤然
zrrji 昭然若揭
zrrl 周容
zrrlu 邹容
zrrn 走人
zrrnu 周任
zrrnuu 自然人
zrro 走弱
zrrt 走软
zrru 走入
zrry 责任人员
zrsa 绉纱
zrsc 载入史册
zrse 走色
zrsf 招惹是非
zrsg 责任事故
zrsgu 作如是观
zrsguu 众人拾柴火焰高
zrsi 走私
zrsie 走势
zrsiu 周四
zrsiui 周时
zrsj 周三
zrsje 走散
zrsju 舟山
zrsjui 邹山
zrsm 骤升
zrsme 走声
zrsn 周身
zrsne 走神
zrso 皱缩
zrsoe 走索
zrsp 走上
zrsr 走兽
zrsru 知人善任
zrsu 周书
zrsue 责任书
zrsuo 总人数
zrsuu 自然数
zrsv 周岁
zrsve 走水
zrsvu 周水
zrsw 致人死亡
zrsx 早日实现
zrsy 峥嵘岁月
zrt 责任田
zrta 揍他
zrtf 周天
zrth 走台
zrti 走题
zrtj 自然条件
zrtk 周涛
zrtl 走通
zrtlu 自然铜
zrto 走脱
zrtp 走趟
zrtr 轴头
zrts 重如泰山
zrva 走啊
zrvj 奏案
zrvm 遮人耳目
zrvr 自然而然
zrvu 周二
zrwa 轴瓦
zrwae 走哇
zrwc 早日完成
zrwh 走歪
zrwj 走完
zrwju 肘弯
zrwl 助人为乐
zrwn 皱纹
zrwne 走稳
zrwo 肘窝
zrwp 纣王
zrws 主人翁精神
zrwu 周五
zrwuo 总任务
zrww 周围
zrwwi 置若罔闻
zrwwo 总认为
zrwwu 自认为
zrwy 主任委员
zrx 责任心
zrxb 轴心
zrxc 走向
zrxcu 周详
zrxd 奏效
zrxf 周线
zrxfu 邹县
zrxg 周星
zrxge 走形
zrxh 走穴
zrxj 正人先正己
zrxq 走秀
zrxt 周旋
zrxte 走悬
zrxu 周恤
zrxx 自然现象
zrxy 周迅
zrxz 自然选择
zry 最容易
zrya 走呀
zryb 走音
zryd 做人要厚道
zrye 昼夜
zryee 走也
zryg 走硬
zryh 奏乐
zryhi 中日友好
zryi 周一
zryie 奏议
zryj 走眼
zryp 周洋
zrype 走样
zryr 周游
zrys 主任医生
zrysu 自然因素
zryt 走远
zryte 真人养脏汤
zrytu 周原
zryu 咒语
zryv 咒语
zryy 走运
zryyu 周云
zryyuu 自然原因
zryz 奏乐
zrz 责任状
zrza 周匝
zrzc 自然增长
zrzd 责任重大
zrzde 责任制度
zrze 走着
zrzeu 周折
zrzh 走在
zrzhu 自然灾害
zrzi 肘子
zrzie 走子
zrzieu 责任制
zrziu 周知
zrzj 重任在肩
zrzk 周遭
zrzl 自然增长率
zrzm 骤增
zrzme 走正
zrzmu 周正
zrzmuu 知人之明
zrzp 州长
zrzpe 奏章
zrzr 走走
zrzro 州州
zrzru 周周
zrzs 真人真事
zrzt 周转
zrzu 洲渚
zrzue 走卒
zrzv 周晬
zrzve 走嘴
zrzx 知人知面不知心
zrzy 自然资源
zrzyu 自然主义
zsb 座上宾
zsbb 座上宾
zsbc 在所不辞
zsbd 抓膘
zsbg 抓兵
zsbj 招生办
zsbje 正式版
zsbju 坐视不救
zsbu 抓捕
zsbui 紫式部
zsbx 在所不惜
zsby 至死不渝
zsc 再生产
zscc 着手成春
zsch 抓彩
zsche 抓差
zsci 抓词
zscj 知识产权局
zscl 正式成立
zsclo 装傻充愣
zscm 中上层
zscq 知识产权
zscu 抓出
zscua 展示出
zscue 折射出
zsd 自身的
zsda 抓打
zsde 展示的
zsdee 正式的
zsdf 抓点
zsdfu 知识点
zsdh 中生代
zsdi 住所地
zsdj 针式打印机
zsdk 抓到
zsdku 追溯到
zsdl 知书达理
zsdlu 知书达礼
zsdm 指示灯
zsdme 转手倒卖
zsdmu 筑室道谋
zsdn 掌上电脑
zsdr 抓斗
zsds 终身大事
zsdu 抓赌
zsdw 壮士断腕
zsdwe 直属单位
zsdx 中山大学
zsf 走私犯
zsfb 正式发布
zsfj 抓饭
zsfje 直升飞机
zsfm 占上风
zsfme 再生父母
zsfp 正式发票
zsfu 抓夫
zsfw 住宿费
zsfwe 正式访问
zsfy 众说纷纭
zsfz 知识分子
zsg 真实感
zsgd 坐山观虎斗
zsgj 真实感
zsgl 征收管理
zsgn 抓哏
zsgo 战胜国
zsgt 展示馆
zsgv 抓轨
zsgx 知识更新
zsh 早上好
zshd 子孙后代
zshj 指手画脚
zshje 指手划脚
zshk 抓好
zshl 朱砂红
zshn 抓痕
zsho 抓获
zshr 这时候
zshs 知识化
zshse 在社会上
zshsee 株式会社
zsht 正式会谈
zshto 遵守合同
zshu 紫砂壶
zshv 展示会
zshz 在社会生活中
zsjb 抓紧
zsjd 左上角
zsjde 珠三角
zsjf 爪件
zsjfe 转瞬间
zsjg 直属机构
zsjge 直属机关
zsji 中世纪
zsjie 增塑剂
zsjiee 指示剂
zsjieu 直升机
zsjio 总书记
zsjj 知识经济
zsjje 直抒己见
zsjl 遵守纪律
zsjlu 知识就是力量
zsjn 在世界范围内
zsjq 抓阄
zsjs 爪甲
zsjse 在世界上
zsjso 总设计师
zsjsu 知识竞赛
zsjsuu 自身建设
zsju 抓举
zsjue 招商局
zsjv 抓举
zsjve 招商局
zsjx 知识界
zsjxe 正三角形
zsjz 增收节支
zsk 座上客
zskc 抓狂
zske 座上客
zskl 抓空
zskn 增收困难
zskr 炙手可热
zsks 正式开始
zsku 知识库
zsl 致死量
zslc 致死量
zsld 掌声雷动
zsle 抓了
zslea 展示了
zslee 走上了
zsleeu 遭受了
zslei 战胜了
zslg 总司令
zslgi 中山陵
zsli 足三里
zslj 抓烂
zslju 坐失良机
zslk 抓牢
zsll 钻石珑
zsls 著书立说
zslv 折射率
zsly 自身利益
zsm 做什么
zsme 做什么
zsmf 知识面
zsmg 这说明
zsmh 指桑骂槐
zsmj 蛛丝马迹
zsml 找上门来
zsmn 战士们
zsms 醉生梦死
zsmse 朝三暮四
zsmt 子孙满堂
zsmw 真善美
zsmx 朝思暮想
zsmxu 知识密集型
zsmy 自身免疫
zsmz 掌上明珠
zsn 侄孙女
zsnb 自身难保
zsng 装神弄鬼
zsnk 抓挠
zsnm 在所难免
zsnv 侄孙女
zsnw 终身难忘
zsny 再生能源
zsp 战略上
zspb 装饰品
zspg 抓屏
zsph 抓拍
zspi 战略上
zspo 抓破
zsq 注射器
zsqf 抓钱
zsqg 自食其果
zsqi 抓起
zsqie 指示器
zsqk 真实情况
zsql 自食其力
zsqlu 长时期以来
zsqn 知识青年
zsqr 仗势欺人
zsqs 正式签署
zsqt 追索权
zsqu 抓取
zsqy 重色轻友
zsqyu 自食其言
zsr 做生日
zsrc 正是如此
zsri 做生日
zsrn 肇事人
zsrnu 自诉人
zsrr 志士仁人
zsru 总收入
zss 樟树市
zssg 自视甚高
zssi 抓实
zssii 中山市
zssiu 舟山市
zssj 中枢神经
zssr 抓手
zsss 综上所述
zsst 中枢神经系统
zssu 招生数
zssw 置身事外
zssz 自身素质
zst 展示厅
zstb 纸上谈兵
zstd 兹事体大
zstg 展示厅
zstu 抓图
zstue 走势图
zstx 知识体系
zstz 暂时停止
zsv 走私案
zsvc 择善而从
zsvj 走私案
zsvs 尊师爱生
zsvu 爪儿
zsvw 朱砂安神丸
zsvx 自上而下
zsw 枳术丸
zswa 爪哇
zswg 这山望着那山高
zswj 枳术丸
zsww 占山为王
zswz 资深望重
zsx 只是想
zsxb 抓心
zsxc 众生相
zsxd 抓小
zsxf 抓先
zsxg 真实性
zsxge 暂时性
zsxgu 知识性
zsxi 抓细
zsxm 朝生夕灭
zsxr 长势喜人
zsxs 抓瞎
zsxw 枳实消痞丸
zsxy 直抒胸臆
zsxz 真实写照
zsy 之所以
zsye 祖师爷
zsyei 紫苏叶
zsyg 紫石英
zsygo 这是一个
zsygu 自适应
zsyh 招商银行
zsyi 做生意
zsyk 抓药
zsyko 总是要
zsyl 坐收渔利
zsyp 抓痒
zsypo 燥湿运脾
zsyr 争上游
zsyre 至少有
zsyri 中上游
zsys 在商言商
zsyt 张氏医通
zsyu 置身于
zsyui 忠实于
zsyv 置身于
zsyvi 忠实于
zsyx 左思右想
zsyz 招商引资
zsz 中山装
zszc 中山装
zszd 众矢之的
zszde 再生制动
zsze 抓着
zszeo 肇事者
zszeu 追随者
zszf 重赏之下，必有勇夫
zszg 燥胜则干
zszh 自说自话
zszi 爪子
zszia 终身制
zszii 紫苏子
zszj 尊师重教
zszk 章士钊
zszl 自私自利
zszle 植树造林
zszm 自生自灭
zszme 至善至美
zszr 抓走
zszre 抓周
zszs 抓抓
zszt 只手遮天
zszu 抓住
zszw 抓贼
zszx 再生障碍性贫血
zszy 抓准
zszz 众所周知
zszzu 自始至终
ztb 招投标
ztba 砖霸
ztbd 专题报道
ztbf 转变
ztbg 转病
ztbge 掷铁饼
ztbgei 专题报告
ztbi 转臂
ztbj 专版
ztbje 左踏板
ztbjo 涨停板
ztbjou 总体布局
ztbju 钻版
ztbk 转包
ztbku 钻报
ztbo 转播
ztbr 遮天蔽日
ztbs 整体部署
ztby 赞叹不已
ztc 直通车
ztca 砖茶
ztcc 钻床
ztce 专车
ztch 专才
ztche 专差
ztci 专此
ztcio 主题词
ztcj 转产
ztck 转抄
ztcm 专程
ztcmu 钻成
ztco 钻锉
ztcp 专长
ztcs 状态参数
ztct 专船
ztcu 转出
ztcui 最突出
ztcuu 钻出
ztcx 在通常情况下
ztcy 转存
ztd 整体的
ztda 转达
ztdc 专题调查
ztdd 转调
ztdde 震天动地
ztddi 战天斗地
ztde 转的
ztdf 赚点
ztdh 转贷
ztdhe 志同道合
ztdi 专递
ztdiu 钻地
ztdk 转到
ztdki 中途岛
ztdku 钻到
ztdl 转动
ztdlu 钻动
ztdm 专等
ztdo 砖垛
ztdq 在铁的事实面前
ztdt 专断
ztdv 专对
ztdx 转碟
ztdxe 在同等条件下
ztdz 竹筒倒豆子
ztfa 转发
ztfb 正态分布
ztfp 专访
ztfr 自叹弗如
ztfu 转付
ztfuo 总统府
ztfv 总体方案
ztgd 遮天盖地
ztgh 总体规划
ztgj 钻杆
ztgje 专干
ztgk 转告
ztgl 钻工
ztgn 整体观念
ztgo 转过
ztgp 转岗
ztgpi 中碳钢
ztgr 赚够
ztgt 专管
ztgu 转鼓
ztgui 足通谷
ztgv 专柜
ztgw 转给
ztgy 主题公园
ztgz 债台高筑
zth 招贴画
zthe 沌河
zthj 专函
zthk 转好
zthm 专横
zthp 转行
zths 转化
ztht 转换
zthtu 钻环
zthu 专户
zthv 转回
zthvo 座谈会
zthy 砖混
ztj 整天价
ztjb 钻进
ztjbe 转金
ztjc 专讲
ztjd 转交
ztjf 专拣
ztjfu 钻尖
ztjg 钻井
ztjge 转经
ztji 专辑
ztjiu 钻机
ztjs 专家
ztjsu 钻架
ztju 转矩
ztjuu 钻具
ztjv 转矩
ztjvu 钻具
ztjx 钻戒
ztjxe 转接
ztjxo 主体间性
ztkc 自讨苦吃
ztke 专科
ztkg 砖块
ztkj 专刊
ztkk 专靠
ztkl 钻孔
ztkr 转口
ztkt 转款
ztku 转库
ztl 增添了
ztlc 转亮
ztle 赚了
ztleu 钻了
ztlf 转脸
ztlh 转来
ztli 专利
ztlj 专栏
ztljo 状态栏
ztlk 总体来看
ztlq 转流
ztls 总体来说
ztlu 转录
ztlw 甾体类
ztlwu 自投罗网
ztlx 专列
ztly 专论
ztlye 整体利益
ztm 真他妈
ztma 转码
ztmb 总体目标
ztmd 砖庙
ztmf 砖面
ztmg 专名
ztmgu 知天命
ztmh 专卖
ztmm 颛蒙
ztmn 专门
ztmo 砖模
ztmq 自讨没趣
ztmu 钻木
ztmw 专美
ztnf 转念
ztni 撰拟
ztnt 转暖
ztpf 专题片
ztpfi 止痛片
ztpi 砖坯
ztpj 转盘
ztpw 转配
ztq 中提琴
ztqb 中提琴
ztqc 转强
ztqf 赚钱
ztqg 转请
ztqi 砖砌
ztqii 助听器
ztqiie 助推器
ztqq 钻求
ztqt 转圈
ztqtu 钻圈
ztqu 赚取
ztquo 主题曲
ztqv 主题曲
ztrd 钻天入地
ztrh 政通人和
ztrj 转染
ztrn 专人
ztro 转弱
ztrp 转让
ztru 转入
ztruu 钻入
zts 昭通市
ztsa 专杀
ztse 专设
ztsi 钻石
ztsie 转世
ztsiea 专司
ztsj 专擅
ztsl 转送
ztsle 整体实力
ztsm 转生
ztsmu 獐头鼠目
ztsn 转身
ztsp 整体上
ztspe 整体水平
ztspo 总体上
ztspou 总体水平
ztsr 转手
ztsre 指天誓日
ztsu 转速
ztsue 专属
ztsv 转税
ztsvu 钻燧
ztsx 在特殊情况下
ztsy 转瞬
ztsyi 颛孙
ztsz 整体素质
ztt 状态条
ztta 砖塔
zttau 钻塔
zttd 专挑
zttf 转天
zttg 直挺挺
ztth 转台
ztthu 钻台
ztti 专题
zttj 钻探
zttl 转通
zttle 专题讨论
ztto 转托
zttr 钻头
zttre 砖头
zttx 转帖
ztvh 专爱
ztvj 专案
ztvu 转而
ztvuu 纂儿
ztwa 砖瓦
ztwj 转弯
ztwl 走投无路
ztwn 撰文
ztwp 专网
ztwu 专务
ztww 转为
ztx 梓潼县
ztxb 专心
ztxbu 钻心
ztxc 转向
ztxce 专项
ztxd 转销
ztxf 专线
ztxg 转型
ztxge 整体性
ztxgei 专题学术报告
ztxgo 主体性
ztxh 转学
ztxi 专席
ztxiu 重头戏
ztxm 主题鲜明
ztxn 针头线脑
ztxq 专修
ztxqu 纂修
ztxs 状态下
ztxsu 侦探小说
ztxu 颛顼
ztxx 撰写
ztxy 专讯
ztxye 整体效益
zty 正投影
ztya 钻压
ztyb 转印
ztye 专业
ztyg 专营
ztygu 钻营
ztyi 转移
ztyj 转眼
ztyje 专研
ztyjei 专题研究
ztyju 钻研
ztyk 砖窑
ztyki 止痛药
ztyku 镇痛药
ztyl 专用
ztyr 专有
ztyt 专员
ztyte 专题研讨
ztyu 转语
ztyv 转语
ztyy 转运
ztze 转折
ztzee 攥着
ztzeee 专责
ztzh 转载
ztzi 专职
ztzie 转子
ztzio 字头字
ztzj 转战
ztzk 专找
ztzku 钻凿
ztzl 在天之灵
ztzm 专政
ztzme 转赠
ztzn 转诊
ztzni 贼头贼脑
ztzo 专座
ztzp 转账
ztzr 转轴
ztzre 专走
ztzt 转转
ztztu 钻钻
ztzu 专注
ztzue 转租
ztzueu 攥住
ztzy 蒸腾作用
zuba 筑坝
zubb 主宾
zubd 主表
zubf 主编
zubfo 祖鞭
zubg 驻兵
zubh 竹柏
zubi 主笔
zubj 主办
zubja 组办
zubk 珠宝
zubn 足本
zubo 主播
zubpe 珠蚌
zubu 逐步
zubui 足部
zubw 贮备
zubwo 祖辈
zubx 组别
zuca 主查
zucc 主创
zuce 注册
zuceu 租车
zuch 足彩
zuchu 竹材
zuci 主持
zucia 组词
zucie 逐词
zucii 足赤
zucio 主次
zucj 助产
zuck 筑巢
zucki 足超
zucko 主槽
zucl 蛀虫
zuclo 主从
zucm 组成
zucme 著称
zucn 诸宸
zuco 铸错
zucp 主场
zucpi 贮藏
zucpu 租仓
zucr 逐臭
zuct 祖传
zucta 驻川
zucu 住处
zucuu 租出
zucv 珠翠
zucy 贮存
zucyu 朱唇
zuda 主打
zudd 竹雕
zudda 组雕
zude 朱德
zudeo 族的
zudf 住店
zudfu 租佃
zudg 注定
zudgo 祖丁
zudh 阻带
zudi 驻地
zudiu 租地
zudk 主导
zudl 主动
zudo 诸多
zudp 阻挡
zudr 俎豆
zudt 阻断
zudte 逐段
zudu 猪肚
zuduo 注读
zuduu 住读
zudv 组队
zudvo 主队
zudy 柱墩
zufa 竹筏
zufao 族阀
zufj 煮饭
zufm 珠峰
zufn 祖坟
zufne 逐分
zufp 住房
zufpu 租房
zufu 祝福
zufui 嘱咐
zufuo 主妇
zufuou 祖父
zufw 煮沸
zufwu 租费
zugc 烛光
zuge 诸葛
zugea 阻隔
zugj 主干
zugk 主稿
zugka 组稿
zugl 主公
zugli 足恭
zugm 祖庚
zugn 主根
zugni 足跟
zugo 祖国
zugou 住过
zugp 驻港
zugr 足够
zugru 猪狗
zugt 主管
zugto 主观
zugu 主顾
zugv 族规
zugw 租给
zugy 竹棍
zuhc 朱晃
zuhe 组合
zuheo 祝贺
zuhg 蛀坏
zuhh 珠海
zuhha 阻害
zuhj 驻韩
zuhk 祝好
zuhl 朱红
zuho 烛火
zuhp 逐行
zuhr 诸侯
zuhs 驻华
zuhsa 组画
zuht 朱鹮
zuhu 住户
zuhuu 租户
zuhv 族徽
zuhy 主婚
zujb 租金
zujbu 住进
zujc 珠江
zujf 逐渐
zujfa 组建
zujg 驻京
zujh 主角
zujha 阻绝
zuji 主机
zujii 足迹
zujq 祝酒
zujs 住家
zujsu 租价
zujt 猪圈
zuju 主句
zujue 逐句
zujuo 祖居
zujv 主句
zujve 逐句
zujvo 祖居
zujx 注解
zujxu 租借
zujy 驻军
zujz 主角
zujza 阻绝
zuka 主卡
zukc 竹筐
zuke 主课
zukg 竹筷
zukh 煮开
zukk 主考
zukko 祖考
zukl 主控
zukp 阻抗
zukpe 珠康
zuks 主跨
zukt 柱宽
zuku 主库
zulb 租赁
zulbu 竹林
zulc 足量
zulco 主梁
zuld 主料
zuldi 足疗
zulf 足联
zulfe 株连
zulh 租来
zuli 阻力
zulii 助理
zulj 阻拦
zulju 竹篮
zulk 助老
zull 猪笼
zullo 祖龙
zulo 猪猡
zulp 逐浪
zulq 主流
zulqa 阻留
zulr 主楼
zulu 阻路
zulv 祖率
zulw 烛泪
zulwo 族类
zulx 猪鬣
zuly 逐轮
zuma 祖马
zumd 猪苗
zumdo 祖庙
zumg 著名
zumgo 注明
zumh 主脉
zumi 租米
zumj 注满
zumk 猪毛
zumn 朱门
zumr 主谋
zumu 瞩目
zumuo 祖母
zumx 竹篾
zunb 祝您
zund 朱鸟
zunf 逐年
zunfo 卒年
zuni 祝你
zunia 阻尼
zunj 阻难
zunk 阻挠
zunku 猪脑
zunw 主内
zunz 助虐
zupb 主频
zuph 猪排
zupi 猪皮
zupj 主盘
zupk 助跑
zupn 柱盆
zupo 猪婆
zupu 族谱
zupuo 主仆
zuqb 住勤
zuqbo 族亲
zuqc 筑墙
zuqd 竹桥
zuqf 竹签
zuqfu 租钱
zuqg 竹青
zuqh 朱雀
zuqi 租期
zuqq 足球
zuqqo 诛求
zuqt 主权
zuqto 族权
zuqu 主区
zuqua 组曲
zuqy 主群
zuqyo 族群
zuri 逐日
zurj 阻燃
zurji 助燃
zurk 阻扰
zurl 铸熔
zurn 主任
zurno 族人
zurp 租让
zurr 猪肉
zuru 注入
zuruo 诸如
zuruu 租入
zusa 朱砂
zusaa 组杀
zuse 注射
zuseo 主色
zusg 主帅
zush 阻塞
zusho 主赛
zusi 注视
zusii 蛛丝
zusio 注释
zusioi 祖师
zusk 竹哨
zuska 组哨
zusl 主送
zusn 主审
zusna 阻深
zuso 住所
zusp 祖上
zuspo 主丧
zuspu 住上
zusr 助手
zusru 租售
zust 珠算
zusu 住宿
zusue 煮熟
zusuu 租书
zusv 卒岁
zusvu 租税
zusy 竹笋
zusyo 祖孙
zutd 逐条
zutf 朱瑱
zutfo 族田
zutg 助听
zuth 组态
zutho 烛台
zuti 主体
zutio 主题
zutj 足坛
zutjo 主谈
zutk 诛讨
zutl 竹筒
zuto 嘱托
zutp 煮汤
zutr 猪头
zutt 组团
zutu 组图
zutv 主推
zutx 铸铁
zuty 驻屯
zuve 足额
zuvh 阻碍
zuvj 组胺
zuvu 主儿
zuvuo 祖儿
zuwa 猪娃
zuwh 驻外
zuwm 祖翁
zuwn 著文
zuwo 主卧
zuwp 蛛网
zuwpa 组网
zuwu 主物
zuwuu 租屋
zuww 组委
zuwwi 助威
zuxb 猪心
zuxbo 祖辛
zuxc 逐项
zuxca 组项
zuxd 注销
zuxdi 足校
zuxf 祖先
zuxfo 主线
zuxg 助兴
zuxgi 足兴
zuxh 助学
zuxi 主席
zuxiu 租息
zuxl 主凶
zuxlo 族兄
zuxq 主修
zuxs 住下
zuxsu 租下
zuxt 主选
zuxta 组选
zuxx 足协
zuxxe 逐谢
zuxy 祖训
zuya 蛀牙
zuyb 注音
zuybi 足音
zuye 主页
zuyeo 祖业
zuyg 主营
zuygu 租婴
zuyh 逐月
zuyhu 租约
zuyi 注意
zuyie 逐一
zuyii 足以
zuyiia 足矣
zuyio 主义
zuyioo 主意
zuyj 主演
zuyk 主要
zuyl 租用
zuylu 住用
zuyp 助养
zuyr 足有
zuyru 猪油
zuyt 祝愿
zuyta 组员
zuyu 主语
zuyui 足浴
zuyv 主语
zuyvi 足浴
zuyy 贮运
zuyz 逐月
zuyzu 租约
zuza 驻扎
zuzc 组装
